pv_backfeed,ac_disco,tap_ac_disco,wire_size,tap_wire_size,ground_wire_size,ac_conduit_calc,pv_breaker_common_size,fused_ac_disco_fused_size,standard_breaker
5,30,60,10 AWG,6 AWG,10 AWG,"CONDUIT:  3/4"" LIQUID TIGHT OR EMT",20,20,15
10,30,60,10 AWG,6 AWG,10 AWG,"CONDUIT:  3/4"" LIQUID TIGHT OR EMT",20,20,15
15,30,60,10 AWG,6 AWG,10 AWG,"CONDUIT:  3/4"" LIQUID TIGHT OR EMT",20,20,15
20,30,60,10 AWG,6 AWG,10 AWG,"CONDUIT:  3/4"" LIQUID TIGHT OR EMT",20,20,20
25,30,60,10 AWG,6 AWG,10 AWG,"CONDUIT:  3/4"" LIQUID TIGHT OR EMT",30,30,25
30,30,60,10 AWG,6 AWG,10 AWG,"CONDUIT:  3/4"" LIQUID TIGHT OR EMT",30,30,30
35,60,60,8 AWG,6 AWG,10 AWG,"CONDUIT:  3/4"" LIQUID TIGHT OR EMT",40,40,35
40,60,60,8 AWG,6 AWG,10 AWG,"CONDUIT:  3/4"" LIQUID TIGHT OR EMT",40,40,40
45,60,60,8 AWG,6 AWG,10 AWG,"CONDUIT:  3/4"" LIQUID TIGHT OR EMT",50,50,45
50,60,60,6 AWG,6 AWG,10 AWG,"CONDUIT:  3/4"" LIQUID TIGHT OR EMT",50,50,50
55,60,60,6 AWG,6 AWG,10 AWG,"CONDUIT:  3/4"" LIQUID TIGHT OR EMT",60,60,60
60,60,60,6 AWG,6 AWG,10 AWG,"CONDUIT:  3/4"" LIQUID TIGHT OR EMT",60,60,60
65,100,100,6 AWG,6 AWG,8 AWG,"CONDUIT:  1"" LIQUID TIGHT OR EMT",70,70,70
70,100,100,4 AWG,4 AWG,8 AWG,"CONDUIT:  1"" LIQUID TIGHT OR EMT",70,70,70
75,100,100,4 AWG,4 AWG,8 AWG,"CONDUIT:  1"" LIQUID TIGHT OR EMT",80,80,80
80,100,100,4 AWG,4 AWG,8 AWG,"CONDUIT:  1"" LIQUID TIGHT OR EMT",80,80,80
85,100,100,3 AWG,3 AWG,8 AWG,"CONDUIT:  1"" LIQUID TIGHT OR EMT",90,90,90
90,100,100,3 AWG,3 AWG,8 AWG,"CONDUIT:  1"" LIQUID TIGHT OR EMT",90,90,90
95,100,100,2 AWG,2 AWG,8 AWG,"CONDUIT:  1.25"" EMT",100,100,100
100,100,100,2 AWG,2 AWG,6 AWG,"CONDUIT:  1.25"" EMT",100,100,100
105,200,200,2 AWG,2 AWG,6 AWG,"CONDUIT:  1.25"" EMT",110,110,125
110,200,200,2 AWG,2 AWG,6 AWG,"CONDUIT:  1.25"" EMT",110,110,125
115,200,200,2 AWG,2 AWG,6 AWG,"CONDUIT:  1.25"" EMT",125,125,125
120,200,200,1 AWG,1 AWG,6 AWG,"CONDUIT:  1.25"" EMT",125,125,125
125,200,200,1 AWG,1 AWG,6 AWG,"CONDUIT:  1.25"" EMT",125,125,125
130,200,200,1 AWG,1 AWG,6 AWG,"CONDUIT:  1.25"" EMT",130,150,150
135,200,200,1/0 KCMIL,1/0 AWG,6 AWG,"CONDUIT: 1.5"" EMT",150,150,150
140,200,200,1/0 KCMIL,1/0 AWG,6 AWG,"CONDUIT: 1.5"" EMT",150,150,150
145,200,200,1/0 KCMIL,1/0 AWG,6 AWG,"CONDUIT: 1.5"" EMT",150,150,150
150,200,200,2/0 KCMIL,2/0 AWG,6 AWG,"CONDUIT: 1.5"" EMT",150,150,150
155,200,200,2/0 KCMIL,2/0 AWG,6 AWG,"CONDUIT: 1.5"" EMT",175,175,175
160,200,200,2/0 KCMIL,2/0 AWG,6 AWG,"CONDUIT: 1.5"" EMT",175,175,175
165,200,200,2/0 KCMIL,2/0 AWG,6 AWG,"CONDUIT: 1.5"" EMT",175,175,175
170,200,200,2/0 KCMIL,2/0 AWG,6 AWG,"CONDUIT: 1.5"" EMT",175,175,175
175,200,200,3/0 KCMIL,3/0 AWG,6 AWG,"CONDUIT: 2""  EMT",175,175,175
180,200,200,3/0 KCMIL,3/0 AWG,6 AWG,"CONDUIT: 2""  EMT",200,200,200
185,200,200,3/0 KCMIL,3/0 AWG,6 AWG,"CONDUIT: 2""  EMT",200,200,200
190,200,200,3/0 KCMIL,3/0 AWG,6 AWG,"CONDUIT: 2""  EMT",200,200,200
195,200,200,4/0 KCMIL,4/0 KCMIL,6 AWG,"CONDUIT: 2""  EMT",200,200,200
200,200,200,4/0 KCMIL,4/0 KCMIL,4 AWG,"CONDUIT: 2""  EMT",200,200,200
